dt,bat_v,dht_h,dht_t,ref_v,therm_v,out_v,in_v
20251223T221501,7.540, 20.0, 33.0,2.483,2.761,2.488,2.488
20251223T221502,7.733, 20.0, 34.0,2.493,2.766,2.498,2.493
20251223T221504,7.707, 20.0, 35.0,2.473,2.747,2.478,2.478
20251223T221506,7.654, 20.0, 35.0,2.473,2.747,2.478,2.478
20251223T221507,7.733, 20.0, 34.0,2.468,2.747,2.478,2.478
20251223T221509,7.645, 20.0, 34.0,2.468,2.747,2.478,2.478
20251223T221510,7.733, 20.0, 35.0,2.473,2.747,2.478,2.478
20251223T221512,7.663, 20.0, 35.0,2.473,2.742,2.478,2.483
20251223T221514,7.513, 20.0, 36.0,2.473,2.747,2.478,2.483
20251223T221515,7.680, 20.0, 37.0,2.473,2.742,2.478,2.483
20251223T221517,7.531, 20.0, 37.0,2.478,2.742,2.478,2.483
20251223T221518,7.751, 20.0, 37.0,2.473,2.737,2.478,2.483
20251223T221520,7.531, 20.0, 37.0,2.473,2.732,2.478,2.483
20251223T221522,7.557, 20.0, 37.0,2.473,2.732,2.478,2.483
20251223T221523,7.760, 20.0, 36.0,2.473,2.727,2.478,2.483
20251223T221525,7.496, 20.0, 36.0,2.473,2.727,2.478,2.483
20251223T221526,7.416, 20.0, 37.0,2.473,2.727,2.478,2.483
20251223T221528,7.540, 20.0, 37.0,2.473,2.722,2.478,2.483
20251223T221530,7.707, 20.0, 37.0,2.473,2.722,2.478,2.483
20251223T221531,7.645, 20.0, 36.0,2.473,2.722,2.478,2.483
20251223T221533,7.399, 20.0, 36.0,2.473,2.722,2.478,2.483
20251223T221534,7.460, 20.0, 36.0,2.473,2.717,2.478,2.483
20251223T221536,7.584, 20.0, 35.0,2.473,2.722,2.478,2.483
20251223T221538,7.786, 20.0, 35.0,2.473,2.722,2.478,2.483
20251223T221539,7.425, 20.0, 35.0,2.478,2.722,2.478,2.483
20251223T221541,7.619, 20.0, 35.0,2.478,2.727,2.483,2.488
20251223T221542,7.478, 20.0, 34.0,2.478,2.727,2.483,2.483
20251223T221544,7.654, 20.0, 34.0,2.478,2.727,2.483,2.483
20251223T221546,7.408, 20.0, 34.0,2.478,2.727,2.483,2.483
20251223T221547,7.733, 20.0, 34.0,2.478,2.727,2.483,2.483
20251223T221549,7.672, 20.0, 34.0,2.478,2.727,2.483,2.483
20251223T221550,7.566, 20.0, 34.0,2.473,2.727,2.478,2.483
20251223T221552,7.654, 20.0, 34.0,2.498,2.747,2.498,2.498
20251223T221554,7.689, 20.0, 34.0,2.488,2.742,2.493,2.493
20251223T221555,7.610, 20.0, 34.0,2.498,2.752,2.498,2.498
20251223T221557,7.399, 20.0, 34.0,2.483,2.742,2.488,2.488
20251223T221558,7.654, 20.0, 34.0,2.483,2.742,2.488,2.488
20251223T221600,7.452, 20.0, 34.0,2.483,2.742,2.488,2.488
20251223T221602,7.601, 20.0, 34.0,2.483,2.742,2.488,2.488
20251223T221603,7.504, 20.0, 34.0,2.483,2.747,2.488,2.488
20251223T221605,7.566, 20.0, 34.0,2.483,2.747,2.488,2.488
20251223T221606,7.487, 20.0, 34.0,2.483,2.747,2.488,2.488
20251223T221608,7.504, 20.0, 34.0,2.483,2.747,2.488,2.488
20251223T221610,7.584, 20.0, 34.0,2.483,2.747,2.488,2.488
20251223T221611,7.443, 20.0, 34.0,2.483,2.752,2.488,2.488
20251223T221613,7.522, 20.0, 34.0,2.483,2.752,2.488,2.488
20251223T221614,7.716, 20.0, 34.0,2.488,2.757,2.488,2.493
20251223T221616,7.707, 20.0, 34.0,2.488,2.757,2.488,2.493
20251223T221618,7.654, 20.0, 34.0,2.483,2.757,2.488,2.488
20251223T221619,7.548, 20.0, 34.0,2.483,2.757,2.488,2.488
20251223T221621,7.540, 20.0, 34.0,2.483,2.757,2.488,2.488
20251223T221622,7.540, 20.0, 34.0,2.488,2.757,2.488,2.488
20251223T221624,7.636, 20.0, 34.0,2.488,2.761,2.493,2.493
20251223T221626,7.460, 20.0, 34.0,2.488,2.761,2.493,2.493
20251223T221627,7.628, 20.0, 34.0,2.488,2.761,2.493,2.493
20251223T221629,7.680, 20.0, 34.0,2.488,2.761,2.493,2.493
20251223T221630,7.460, 20.0, 34.0,2.473,2.752,2.478,2.483
20251223T221632,7.628, 20.0, 34.0,2.473,2.752,2.478,2.483
20251223T221634,7.663, 20.0, 34.0,2.473,2.752,2.478,2.483
20251223T221635,7.663, 20.0, 35.0,2.478,2.752,2.483,2.483
20251223T221637,7.425, 20.0, 35.0,2.478,2.757,2.483,2.488
20251223T221638,7.610, 20.0, 35.0,2.478,2.752,2.483,2.483
20251223T221640,7.672, 20.0, 35.0,2.478,2.752,2.483,2.483
20251223T221642,7.575, 20.0, 35.0,2.478,2.752,2.483,2.483
20251223T221643,7.707, 20.0, 35.0,2.478,2.757,2.483,2.483
20251223T221645,7.672, 20.0, 35.0,2.478,2.757,2.483,2.483
20251223T221646,7.416, 20.0, 35.0,2.478,2.757,2.483,2.483
